complex_id,ligand_file,protein_file,pocket_file,affinity,measure,resolution,year
2r58,data/raw/PDBbind_v2020_refined/refined-set/2r58/2r58_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/2r58/2r58_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/2r58/2r58_pocket.pdb,2.0,pKd,2.0,2007
3c2f,data/raw/PDBbind_v2020_refined/refined-set/3c2f/3c2f_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3c2f/3c2f_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3c2f/3c2f_pocket.pdb,2.0,pKd,2.35,2008
3g2y,data/raw/PDBbind_v2020_refined/refined-set/3g2y/3g2y_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3g2y/3g2y_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3g2y/3g2y_pocket.pdb,2.0,pKd,1.31,2009
3pce,data/raw/PDBbind_v2020_refined/refined-set/3pce/3pce_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3pce/3pce_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3pce/3pce_pocket.pdb,2.0,pKd,2.06,1998
4qsu,data/raw/PDBbind_v2020_refined/refined-set/4qsu/4qsu_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4qsu/4qsu_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4qsu/4qsu_pocket.pdb,2.0,pKd,1.9,2014
4qsv,data/raw/PDBbind_v2020_refined/refined-set/4qsv/4qsv_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4qsv/4qsv_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4qsv/4qsv_pocket.pdb,2.0,pKd,1.9,2014
4u54,data/raw/PDBbind_v2020_refined/refined-set/4u54/4u54_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4u54/4u54_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4u54/4u54_pocket.pdb,2.06,pKd,2.41,2015
3ao4,data/raw/PDBbind_v2020_refined/refined-set/3ao4/3ao4_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3ao4/3ao4_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3ao4/3ao4_pocket.pdb,2.07,pKd,1.95,2011
4cs9,data/raw/PDBbind_v2020_refined/refined-set/4cs9/4cs9_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/4cs9/4cs9_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/4cs9/4cs9_pocket.pdb,2.1,pKd,2.01,2014
2w8w,data/raw/PDBbind_v2020_refined/refined-set/2w8w/2w8w_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/2w8w/2w8w_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/2w8w/2w8w_pocket.pdb,2.12,pKd,2.14,2009
3gv9,data/raw/PDBbind_v2020_refined/refined-set/3gv9/3gv9_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/3gv9/3gv9_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/3gv9/3gv9_pocket.pdb,2.12,pKd,1.8,2009
6r9u,data/raw/PDBbind_v2020_refined/refined-set/6r9u/6r9u_ligand.sdf,data/raw/PDBbind_v2020_refined/refined-set/6r9u/6r9u_protein.pdb,data/raw/PDBbind_v2020_refined/refined-set/6r9u/6r9u_pocket.pdb,2.12,pKd,1.26,2019
